Source,Target,Type,Rota de ligacao
1,2,Undirected,333
1,2,Undirected,3
1,2,Undirected,505
1,2,Undirected,555
2,97,Undirected,333
2,101,Undirected,3
2,3,Undirected,505
2,98,Undirected,555
3,4,Undirected,505
3,4,Undirected,550
4,98,Undirected,505
4,6,Undirected,550
6,7,Undirected,550
6,7,Undirected,55
6,7,Undirected,955
7,8,Undirected,550
7,8,Undirected,55
7,11,Undirected,955
8,9,Undirected,550
8,9,Undirected,55
9,10,Undirected,550
9,10,Undirected,55
10,98,Undirected,550
10,98,Undirected,55
11,45,Undirected,955
12,13,Undirected,101
12,13,Undirected,111
12,36,Undirected,202
12,48,Undirected,4
12,92,Undirected,944
13,14,Undirected,101
13,14,Undirected,111
14,15,Undirected,101
14,15,Undirected,111
15,16,Undirected,101
15,41,Undirected,111
16,17,Undirected,101
17,18,Undirected,101
18,19,Undirected,101
19,20,Undirected,101
20,21,Undirected,101
21,22,Undirected,101
22,23,Undirected,101
23,24,Undirected,101
24,25,Undirected,101
25,26,Undirected,101
26,27,Undirected,101
27,28,Undirected,101
28,29,Undirected,101
29,30,Undirected,101
30,31,Undirected,101
31,32,Undirected,101
32,33,Undirected,101
33,34,Undirected,101
34,35,Undirected,101
35,36,Undirected,101
36,37,Undirected,101
36,99,Undirected,202
37,38,Undirected,101
38,39,Undirected,101
39,40,Undirected,101
40,42,Undirected,101
41,45,Undirected,111
42,43,Undirected,101
43,44,Undirected,101
44,45,Undirected,101
45,46,Undirected,101
45,46,Undirected,111
45,46,Undirected,955
46,47,Undirected,101
46,47,Undirected,111
46,95,Undirected,955
47,48,Undirected,101
47,48,Undirected,111
48,49,Undirected,101
48,49,Undirected,111
48,99,Undirected,222
48,49,Undirected,400
48,49,Undirected,404
48,94,Undirected,444
48,94,Undirected,4
48,49,Undirected,77
48,49,Undirected,900
48,49,Undirected,90
48,87,Undirected,922
48,49,Undirected,92
49,50,Undirected,101
49,67,Undirected,111
49,50,Undirected,400
49,51,Undirected,404
49,50,Undirected,77
49,50,Undirected,900
49,50,Undirected,901
49,50,Undirected,902
49,50,Undirected,90
49,50,Undirected,911
49,50,Undirected,92
50,51,Undirected,101
50,51,Undirected,400
50,51,Undirected,77
50,51,Undirected,900
50,51,Undirected,901
50,51,Undirected,902
50,51,Undirected,90
50,51,Undirected,911
50,51,Undirected,92
51,52,Undirected,101
51,52,Undirected,400
51,91,Undirected,404
51,87,Undirected,77
51,87,Undirected,900
51,87,Undirected,901
51,90,Undirected,902
51,87,Undirected,90
51,87,Undirected,911
